text,poiid
空气滤清器的检查空气滤清器过脏会引起发动机工作不良，油耗过大损坏发动机等检查空气滤清器时若发现灰尘较少堵塞较轻可用高压空气从内向外吹净继续使用；过脏的空气滤清器应及时更换,B2094650D168A0FD4398
爸妈都在恒力集团打工，趁放假过来看看他们，住在员工招待所，第一感觉是挺干净的，知道我无意间低头看到了床下的垃圾，不得不说，扫地的员工扫的聪明，检查的人检查的更大度，而且员工宿舍一年四季都没有热水，工作一整天，满身的汗，还要去冲个冷水澡，再说了，谁还没有个头疼脑热的呢，这种情况下还只能洗冷水澡而且这对于很多的女性员工很不方便啊，每个月的生理期都只能忍着满身汗味，强忍一个星期吗,B2094650D16AA3F94699
不要害怕别人批评你喜欢表功、而应是担心自己的努力居然没被人看到。那么就可以再作细谈适时的邀功。才华被埋没了想办法做个“有声音的人”才是能引起老板的注意，向老板汇报要先说结论时间如果允许要善于表现,B2094650D169A7F44693
自恋是一种骄傲：你才付出爱。不要等到别人爱你了：不要等到拥有了很多才去和别人分享一点儿：不要等，不要等到别人微笑了不要等到有了最好的工作明恋是一种格调、不要等到孤单了才意识到朋友的价值。,B2094650D16DA1FC439D
工作的地方,B2094650D169A1F84692
培训怎么比上班还累,B2094650D168AAFE4293
一帮小姐妹相约吃火锅，点了外面一圈牛油锅中间带一小个菌菇清汤的那种锅，还有牛黄喉，牛肚等，各种菜多放在红汤里煮所以我头一次吃火锅没吃饱明晚同事聚餐又是同一家火锅店有点惆怅鸳鸯锅多美好,B2094757D569A0F5479F
今日份故事爱心为了满足客户的用车需求，三强把他老丈人的车都给卖了我看我爸晚上下班骑啥回家捂脸,B2094650D16EA1FC409A
刚上班。我只说两句，售票员中长线继续看好；再穷不能穷教育老公；这衣裳就是为你设计的,B2094757D66DA1FB479A
我的一位男同事，让我帮他买我家楼下的打折榴莲再带到单位给他大体路线是号线号线号之线步行也就一个小时距离吧，我也就背一个电脑吧也就再拿一个斤重的整只榴莲吧,B2094757DA69A4FE459C
将在年在全球范围内投资超过亿欧元上周末在经过监事会首肯后德国汽车巨头宣布史上最庞大的投资计划：这个数字还不包括在中国的大众两家合资公司投资的亿欧元、大众表示,B2094757DA69A4F8459D
亦舒就曾说，一个女子，必须先凭双手争取生活，才有资格追求快乐、幸福、理想。无论如何要有职业，因为结识志同道合的同事、朋友、对象，届时，可以结婚生子，也可以独身终老，这叫做选择，亦即是自由。其实当一个女人懂得，即便在婚后也要保持自立自强的重要性时，她才真正掌握了自己的人生。,B2094650D16EA6FA499C
今天的值班结束后，国庆假期才算真正开始允悲,B2094450D569ABFE419F
趣味老板打了员工一巴掌，上网怒吼：英国员工、世界上有這麼一個男人，長大了你學他沉穩,B2094650D169A7F4479A
一周年生存版》月日上市最新截图放出发行商微软为我们公布了旗下工作室僵尸题材大作《腐烂国度（）》版的发售日期；就这样、我也不说，说着说着就变了,B2094451D368A0F44199
晚上和老板汇报工作，老板突如其来给我发了的双购物津贴，感动,B2094450D569ABFE419F
上周老板请客去这玩旁边还有在建的影视基地。以电影为基础，场景和表演都很棒游戏一般，有些小游戏的画风类似熊出没。当然我手抖这一点就不要再提了。,B2094551D264A4F9469A
”同事丙，”同事甲，“听起来；这么吊,B2094650D16EA0F4419C
财政部已经售出（即通用汽车金融公司前身）最后股份；美政府抛售剩余股份美国总统奥巴马近日宣布：标志着美国政府对汽车产业长达六年的救助正式结束,B2094757DA69A4F84393
摸在门上。叫做青春、找她沟通、公司老板要解雇扫厕所阿姨，阿姨竟无言以对；老板我每天都把厕所打扫的干干净净老板怒道闪闪粉,B2094650D169A7F4489E
有工作的地方没有家，有家的地方却没有工作。他乡容纳不了灵魂；故乡安置不了肉身。一个叫家的地方找不到养家糊口的路找到了养家糊口的地方却安不了家。从此便有了漂泊有了远方有了乡愁,B2094650D168AAFF4293
，月份了盛虹和我们公司生意都淡了,B2094650D16AA3FA499A
每天早上上班就说哎呀今天似乎没啥事可以早点下班。到下班点了又说哎呀今天又要加班这就是工作的跌宕起伏，惊喜就在不远处,B2094757D569A6FD489C
一计划生育工作者在墙上刷一大标语女人四十以后再生子：红颜从此不薄命,B2094650D16DA1F84699
汇个吻吧没钱汇给你，老板几个月没发薪，民工给妻写信“老婆”,B2094650D169A1F94793
关于创业你不能忽视的四件事特斯拉电动汽车联合创始人兼四是不要单一跟着大趋势走、“我家用宝马车运垃圾、甲说“我家佣人都开宝马、一是努力工作：“我天天扶老奶奶过马路”甲乙异口同声说。三个富人比富。,B2094752DB68ABFB4499
该扩建计划得益于劳斯莱斯汽车在过去个月中全球销量的显著增长。以及客户对于高度个性化定制的古思特和幻影车型的不断增长的需求总部位于英国西萨塞克斯古德伍德的劳斯莱斯汽车公司计划于未来数月进行扩建,B2094650D16AA2FE4992
领导是你工作中最有利用价值的资源不要高估自己的能力；扬长避短胜于取长补短，你的饭碗越危险,B2094650D16AA2FB429C
几个简单动作就可令因为久坐而僵硬的关节得到活动转评聊聊看你还有什么简单运动窍门其实运动也可以很简单，现在就试试下面这些小运动办公室教室都可以做的简单运动每天面对始终做不完的课业或工作；脑海中一闪而过的运动意愿总会因为条件所限而被遗忘；每天长时间伏案的人们,B2094650D16AA2FB429C
路上咔咔响坐车的人也比平时多居然还有动力提前半小时到公司想必今日晒了盛装该散场了吧,B2094650D16EA5FC429E
他刚出城门其实工作累没什么、哪知，就怕胡思乱想睡不好。,B2094650D16EA7FB469E
跨年夜，而我还在上班,B2094650D168AAFE4293
任何的程序化中添加一些情感做催化都会产生惊人的改变，工作是程序化的情感是额外的,B2094650D169A1F94793
这些我都比不上你；一切都只能怪自己活该现在后悔有什么用呢唉烦死了、我比你会欣赏他：有好的工作。《门第》：有好的家庭；就是我能记着他对我的好但是有一点我比你强：所以,B2094650D06BAAF9409B
桥桥飞架南北，悠然共享东西昨天再次拜访工业研究院，分别与两位新材料企业家范博士和汪总交流，成长迅猛毫不例外有核心技术。和李院长、章老师交流科技服务，很受启发，一些共性问题需要协同。整个过程体验高新区经发局领导的服务水平和专业能力。“政府、企业家、科研院所、科技服务组织”，不知不觉，我们正是四个创新主体一起交流。感谢耿兄引荐抱拳慧日朗世间江苏道法自然李淳律师和君创业李肃何春银微想王石炮哥是我环境骑士江南春,B2094450D569ABFE419F
《暗黑》国服春节后开测月日凌晨。左右消息：国服暗黑官网将于本周上线；英雄久等了、网易公司副总裁李日强在微博上表示、春节后开测,B2094650D16EA7FB4398
今天店里发奖金，有多余的钱我们就去买了个榴莲说大家分着吃。有个女营业员说：我亲戚来了不能吃凉的，我说：拿去微波炉里面转一下就行了才把榴莲放进微波炉一分钟，一个过来准备热饭的男同事狠狠的瞪了我一眼，把他早上带的饭倒了，去叫外卖了,B2094650D16DA1FC4692
一边陪客户参观，一边背书，这日子过的真的是一言难尽,B2094650D064AAFB479A
